,Tracking Number,Description/Basis for Appeal
1557,EPA-R3-2014-008674,"Property information:  1600 South 49th Street (a.k.a., 4900 Grays Avenue), Philadelphia, Philadelphia County, Pennsylvania 19143.
Site ID: 93334322

This correspondence is being submitted as a request to review files regarding environmental concerns in connection with the above referenced property that may be in possession of the USEPA. Environmental concerns include, but are not limited, to the following:

Air quality, Asbestos, Contaminated sites, Hazardous waste, Lead-based paint, Radiation Protection, Solid Waste, Storage Tanks (e.g., underground storage tanks (?USTs?) and aboveground storage tanks (?ASTs?)), Water Quality (e.g., one-site septic systems and wastewater treatment systems), and Water Supply (e.g., potable water wells, irrigation wells and industrial supply wells)."
1558,EPA-R6-2013-008570,"We request information regarding environmental concerns in association with 9173 N 435 Rd in Adair, Oklahoma."
1559,EPA-R9-2014-001346,"I'd like to review all files for the following sites:

Whittier Plating Co., Inc.
11642 E. Pike St.
Santa Fe Springs

Diversey Wyandotte
8921 Dice Road
Santa Fe Springs

Electronic Chrome & Grinding
9132 Dice Road
Santa Fe Springs"
1560,EPA-R2-2013-007886,"Under the Freedom of Information Act, 5 U.S.C. subsections 552, I am requesting access to the records related to the following cases or applications evaluated by the Caribbean Environmental Protection Division for the former Puerto Rico Industrial Development Building (PRIDCO) located at PR-198 near Km. 14.7 at José Santiago Fernandez Street, including the following programs:
?	National Pollutant Elimination System Program (NPDES), including permits and compliance reports;
?	CERCLIS & Superfund Program Information
?	RCRA related records for the handling of hazardous and non-hazardous wastes at the facility"
1561,CBP-2014-040407,"Any and all documents, arrival/departures, expedited removals or deportations/voluntary departures from the Customs and Border Patrol;"
1562,EPA-HQ-2013-003782,"This FOIA request seeks any records informing the public that with the adoption of § 122.44(d) and any subsequent amendments, EPA has the authority to impose stringent limitations even where state waters are not listed as impaired or exhibiting signs of impairment (e.g., imbalance in aquatic fauna or flora) due to nutrients."
1563,EPA-R7-2015-001486,"Ms. Barker:

Environmental Operations, Inc. is conducting Phase I Environmental Assessments on properties located in Missouri. Under the Freedom of Information Act, we request any information, complaints, or environmental concerns (e.g., RCRA, superfund, air emissions, water emissions, industrial activities, etc.) your agency may have regarding these sites and surrounding properties.

In addition, a general zip code search is a sufficient response to this request.  We will notify your office if we need additional information.  

We are willing to pay up to $25 for each site, however, if it goes above this amount, please contact us for approval before proceeding.  

PLEASE INCLUDE OUR PROJECT NUMBERS WITH YOUR RESPONSE.  

Council House Apartments
300 South Grand Boulevard
St. Louis, MO 63103
Project #5613

Thank you for your assistance.  If you need additional information or have questions, please contact me by phone at (314) 480-4641, by fax at (314) 436-2900, or by email at greg@environmentalops.com.
¬
Respectfully,
 
Greg Oberlohr
Environmental Specialist"
1564,EPA-R6-2012-000744,"Requesting RCRA generator files for: Mobile Oil Corp, 5408 E. FM 1960, Humble, Texas, File Type/No. RCRAGEN/TXD988039343 Trans Future Ent. and Dry Clean Super Center, 5407 E. FM 1960, Atascocita/Humble, Texas, File Type/No. RCRAGEN/TXR000035675 (Trans) and TXR000073734 (Dry Clean)"
1565,CBP-2014-039601,"I WOULD LIKE TO HAVE MY RECORDS FOR REVIEW. I WAS DETAINED BETWEEN 2002 AND 2004, NEAR LAREDO, TX ."
1566,EPA-R2-2014-001276,"828 Montauk Hwy in Water Mill, NY"
1567,EPA-R5-2014-000029,"Please send me information on the following archived CERCLIS site located in Dupo, St. Clair County, Illinois:

EPA ID# ILD980898829 ? Dupo Oil Co (SIA), unreported address, Dupo, Illinois

Please indicate where possible the specific location of this site, types of hazardous materials involved, and any assessment and remediation which took place.  

This information will be used to complete a preliminary environmental site assessment for a proposed road improvement project for the Illinois Department of Transportation (IDOT). Thank you and please do not hesitate to call me at (217) 244-2103 if you have any questions about this request.

Sincerely,
Stephanie Wagner

Environmental Site Assessments Section
Illinois State Geological Survey
615 E. Peabody Drive, MC-650
Champaign, IL 61820-6918

Telephone: (217) 244-2103
Fax: (217) 244-0029
Email: sawagne2@illinois.edu"
1568,EPA-R5-2014-009182,"Magnode Corporation - alias
name Magnode
Prod Inc. at 400 E. State Street in Trenton,
OH."
1569,EPA-R7-2015-003677,"Ms. Barker:

Environmental Operations, Inc. is conducting Phase I Environmental Assessment on properties located in Missouri. Under the Freedom of Information Act, we request any information, complaints, or environmental concerns (e.g., RCRA, superfund, air emissions, water emissions, industrial activities, etc.) your agency may have regarding these sites and surrounding properties.

In addition, a general zip code search is a sufficient response to this request.  We will notify your office if we need additional information.  

We are willing to pay up to $25 for each site, however, if it goes above this amount, please contact us for approval before proceeding.  

PLEASE INCLUDE OUR PROJECT NUMBERS WITH YOUR RESPONSE.  

North Park Phase II Site
116.8 Acres at North Hanley Road and Scudder Road
Kinloch, MO 63140
Latitude 38.738306N Longitude -90.329290W
Project# 5701

Thank you for your assistance.  If you need additional information or have questions, please contact me by phone at (314) 480-4641, by fax at (314) 436-2900, or by email at greg@environmentalops.com."
1570,DOC-NOAA-2013-000928,"I have a family member who suffers from a medical condition aggravated by changes in barometric pressure.  The daily high or low pressure is less relevant than the degree of variation between the two.  I am therefor looking for a map or GIS file that would show the difference between average daily high and low pressure (i.e. the level of pressure instability) in the continental United States.  Such a map does to appear to be included in the current Climatological Atlas.  I suspect that one of your agencies researchers may have created such a map for internal use.  I would like to obtain a copy and am willing to pay (up to $25.00) the normal costs for obtaining a map from your agency.  Alternatively, placing such a map for sale on your website will satisfy this request."
1571,EPA-R7-2014-010376,"TO:  MIKE GIERYIC, former assistant regional counsel, USEPA, Kansas City, KS

I live in Kansas City and noticed a nice piece of property for sale in Platte County last week, drove up there, looked at it and then started to do my research as the property is for sale and as a foreclosure.  I believe you would be an excellent resource for me about this property, which is advertised for sale at 19105 Humphreys Rd., Platte City, Missouri BUT the address you may know from your EPA work is slightly different (19015), (perhaps the listing agent's way to skirt the obvious issues with the property).  I am suspect.

If you would be so kind to help me navigate the potential liability associated with this property and any action the EPA is still considering on the property, that would be very helpful.  

I care about the environment and found the property to be desirable mostly due to its elevation and the views from such a vantage point, but after reading through No. SC87691 in the Supreme Court of Missouri case Dennis E. Hess VS. Chase Manhattan Bank (attached), I wondered what light you may shed on the EPA's possible action to a new owner of the property and the associated costs for additional clean up.  Please provide an answer back to this question.

I also would like to know if the lake to the south of the property owned by Central Platte Holdings is contaminated.

There is an urgent nature to this request as I'd like to make an informed buying decision about the property.  

Thank you for your time and help."
